abandon,v./n.放棄；放縱
abash,v.使害羞，使尷尬
abate,v.減輕，減少
abbreviate,v.縮短；縮寫
abdicate,v.退位，辭職，放棄
aberrant,a.越軌的；異常的
aberration,n.離開正路，脫離常軌；變形
abet,v.教唆，鼓勵，幫助
abeyance,n.中止，擱置
abhor,v.憎恨，嫌惡
abhorrent,a.可恨的，討厭的
abide,v.容忍，忍受
abject,a.極可憐的；卑下的
abjure,v.發誓放棄
ablution,n.(宗教的)淨禮，沐浴
abnegate,v.否認，放棄
abolish,v.廢止，廢除(法律、制度、習俗等)
abolition,n.廢除，革除
abominate,v.痛恨；厭惡
aboveboard,a./adv.光明正大的(地)
abrade,v.磨損，磨小
abrasion,n.表面磨損
abrasive,a.磨損的；生硬粗暴的
abreast,adv.並列，並排
abridge,v.刪減；縮短
abrogate,v.廢止，廢除
abscission,n.[醫]切除，截去；[植]脫離
abscond,v.潛逃，逃亡
absenteeism,n.曠課，曠工
absolute,a.絕對的，完全的；無(條件)限制的
absolve,v.赦免，免除
absorb,v.吸收；同化；吸引…的注意
abstain,v.禁絕，放棄
abstemious,a.有節制的，節儉的
abstention,n.節制
abstentious,a.節制的
abstract,n.摘要；a.抽象的
abstruse,a.難懂的，深奧的
absurd,a.荒謬的，可笑的
abundance,n.充裕，多量
abundant,a.豐富的，盛產的
abuse,v./n.辱罵；濫用
abusive,a.漫罵的；毀謗的；虐待的
abut,v.接界，毗連
abysmal,a.極深的；糟透的
academic,a.學院的，學術的；理論的
academician,n.院士；學會會員
accede,v.同意
accelerate,v.加速；促進
accentuate,v.重讀；強調
access,n.通路；途徑
accessible,a.易達到的；易受影響的
accessory,a.附屬的，次要的
acclaim,v.歡呼，稱贊
acclimate,v.使服水土；使適應
accolade,n.推崇；贊揚
accommodate,v.與…一致；提供食宿
accommodating,a.樂於助人的
accompany,v.伴隨，陪伴
accomplice,n.同謀者，幫凶
accomplish,v.完成，做成功
accomplished,a.完成了的；有技巧的，有造詣的
accord,v./n.同意；一致
accost,v.搭話
accountability,n.負有責任
accrete,v.逐漸增長；添加生長；連生
accretion,n.自然的增加；增加物
accrue,v.(利息等)增大；增多
accumulate,v.積聚，積累
accuracy,n.精確，準確
accurate,a.精確的，準確的
accuse,v.譴責，指責
acerbic,a.苦澀的；刻薄的
acknowledge,v.承認；致謝
acme,n.頂點，極點
acolyte,n.(教士的)助手，侍僧
acorn,n.橡子，橡果
acoustic,a.聽覺的，有關聲音的
acquaint,v.使…熟知；通知
acquaintance,n.熟知；熟人
acquainted,a.對某事物熟悉的；對某人認識的
acquiesce,v.勉強同意，默許
acquired,a.後天習得的
acquisitive,a.渴望得到的，貪婪的
acquit,v.宣告無罪；脫卸義務和責任；還清(債務)
acquittal,n.宣告無罪，開釋
acrid,a.辛辣的，刻薄的
acrimonious,a.尖刻的，嚴厲的
acrimony,n.尖刻，刻薄
acrobat,n.特技演員，雜技演員
acrophobia,n.恐高症
acuity,n.(尤指思想或感官)敏銳
acumen,n.敏銳，精明
acute,a.靈敏的；[病]急性的
adage,n.格言，古訓
adamant,a.強硬的；固執的
adapt,v.使…適應；修改
adaptable,a.有適應能力的；可改編的
addendum,n.補充，附錄
addict,v./n.沈溺；上癮(者)
addition,n.增加，附加
additive,n.添加劑
address,v.處理，對付，著手解決；致詞
adept,a.老練的，精通的
adequate,a.足夠的
adhere,v.粘著
adherent,n.擁護者，信徒
adhesive,a.帶粘性的，膠粘的；n.膠合劑
adjacent,a.接近的，毗連的
adjourn,v.使延期，推遲；休會
adjunct,n.附加物，附件
adjust,v.整頓，整理；適應
admire,v.欽佩，贊賞
admission,n.許可；入會費；承認
admonish,v.訓誡；警告
adobe,n.泥磚，土坯
adolescent,a.青春期的；n.青少年
adopt,v.收養；採納
adore,v.崇拜；熱愛
adorn,v.裝飾
adroit,a.熟練的，靈巧的
adulate,v.諂媚，奉承
adulterate,v.摻假
adumbrate,v.(對將來事件)預示
advent,n.到來，來臨
adventitious,a.偶然的
adverse,a.不利的，相反的；敵對
advertise,v.做廣告
advisable,a.適當的，可行的
advocacy,n.擁護，支持
advocate,>v.擁護，支持，鼓吹；n.支持者，擁護者
aegis,n.盾；保護，庇護
aerate,v.充氣，讓空氣進入
aerial,a.空中的，空氣中的
aesthete,n.審美家
aesthetic,a.美學的，有審美感的
affable,a.易於交談的；和藹的
affectation,n.做作，虛假
affected,a.不自然的；假裝的
affection,n.愛
affidavit,n.宣誓書
affiliate,v.加入；聯合
affiliation,n.聯繫，聯合
affinity,n.密切關係；吸引力
affirm,v.確認；肯定
affix,v.粘上，貼上；在合同上添寫某事物；n.詞綴
afflict,v.使痛苦，折磨
affliction,n.悲痛，受難的起因
affluence,n.充裕，富足
affluent,a.富裕的，豐富的
affordable,a.能夠支付的
affront,v.侮辱，冒犯
agenda,n.議程
agglomerate,v.凝聚，結塊
aggrandize,v.增大，擴張；吹棒
aggravate,v.加重，惡化
aggregate,v.集合；合計
aggression,n.侵略；敵對的情緒或行為
aggressive,a.好鬥的；進取的
aggressor,n.侵略者，攻擊者
aggrieve,v.使受委屈；使痛苦
agile,a.敏捷的，靈活的
agility,n.敏捷
agitate,v.攪動，煽動；使不安，使焦慮
agitated,a.被鼓動的；不安的
agnostic,a.不可知論的
agog,a.興奮的，有強烈興趣的
agony,n.極大痛苦
agrarian,a.土地的
