venerate,v.崇敬，敬仰
vengeance,n.報仇，報復
vengeful,a.報復的，復仇心理的
venial,a.(錯誤等)輕微的，可原諒的
venom,n.毒液；惡毒，痛恨
vent,v.發洩(情緒)；開孔；n.孔，口
ventilate,v.使…通風，透風
ventriloquist,n.口技表演者，會口技的人
veracious,a.誠實的，說真話的
veracity,n.真實性，誠實
verbal,a.口頭的；與言辭有關的
verbiage,n.羅嗦，冗長
verbose,a.冗長的，羅嗦的
verdant,a.青蔥的，翠綠的
verdict,n.判決，決定
verdigris,n.銅鏽，銅綠
verified,a.檢驗的，覈實的
verify,v.證明，證實
verisimilar,a.好像真實的；可能的
veritable,a.確實的，名副其實的
vernacular,n.本國語，地方語
versatile,a.多才多藝的；多用途的
verse,n.詩歌
vertex,n.(三角形等)頂角；頂點
vertical,a.垂直的
vertigo,n.眩暈
verve,n.(藝術作品的)神韻；(人)生機
vessel,n.血管；容器；船隻
vestige,n.痕跡，遺跡
vestigial,a.退化的
vestment,n.(作禮拜時教士的)法衣，官服
veteran,n.老兵，老手；a.經驗豐富的
veterinary,a.獸醫的
veto,n.否決，禁止
vex,v./n.惱火
vexation,n.困擾，苦惱
viability,n.生存能力，存活力
viable,a.可行的；能活下去的
viaduct,n.高架橋
vibrancy,n.生機勃勃，活潑
vibrant,a.振動的；明快的；生機勃勃的
vibrate,v.顫動，振動
vicar,n.教區牧師
vicarious,a.替代的，代理的
vicinity,n.附近，接近
vicious,a.殘酷的，危險的
vicissitudinous,a.有變化的，變遷的
victimize,v.使受害，迫害
vie,v.競爭
vigilant,a.機警的，警惕的
vigorous,a.精力旺盛的，健壯的
vile,a.惡劣的，卑鄙的
vilify,v.辱罵，誹謗
vindicate,v.為…平反；證明…正確
vindictive,a.報復性的
vintner,n.酒商
violate,v.違反，觸犯
violet,a.紫羅蘭色的；n.紫羅蘭
viral,a.病毒性的
virtual,a.實質上的，實際上的
virtuosity,n.精湛技巧，高超
virtuoso,n.演藝精湛的人
virtuous,a.有美德的；自命清高的
virulent,a.劇毒的；惡毒的
virus,n.病毒
viscid,a.粘性的
viscous,a.粘的
visionary,a.有遠見的；幻想的；n.空想家
vista,n.遠景；展望
vital,a.極其重要的；充滿活力的
vitalize,v.激發活力
vitiate,v.削弱，損害
vitrify,v.使成玻璃
vitriolic,a.刻薄的，強烈的
vituperate,v.痛斥，辱罵
vituperative,a.辱罵的
vivacious,a.活潑的，快活的
vivid,a.清晰的，鮮艷的；大膽的，活潑的，逼真的
vocalist,n.流行歌手，聲樂家
vocation,n.擅長；工作，職業
vogue,n.時髦，時尚；a.流行的
void,a.空的，缺乏的；n.空隙，空處；空虛感
volatile,a.反復無常的；揮發性的
volition,n.決斷力，意志
volley,n.齊發，群射；v.齊發，群射；(足球、網球)截擊
voluble,a.健談的；易旋轉的
voluminous,a.長篇的；多產的
voluptuous,a.撩人的；沈溺於酒色的
voracious,a.狼吞虎嚥的，貪婪的
voracity,n.貪婪
votary,n.崇拜者，熱心支持者
vouch,v.擔保，證明
vulgar,a.無教養的
